"boardgamegeek.com game ID",title,yearpublished,playingtime,minplaytime,maxplaytime,minage,minplayers,maxplayers,categories,mechanics,families,designers,artists,publishers,"numplayervotes (1B 1R 1N 2B 2R 2N ...)","agevotes (2 3 4 5 6 8 10 12 14 16 18 21+)","textuse (no some mod ext max)"
2807,"Catan: 5-6 Player Extension",1996,120,120,120,10,5,6,"1042 1026","2072 2040 2047 2011 2081 2008","3","11","12036 12382 4959 11825 24191 11 12063","267 4304 6784 496 2366 5657 4617 5530 21640 858 23382 18852 8822 29036 5020 6214 37 5597 3218 10 22 42","0 0 68 0 4 63 3 25 43 19 25 27 60 20 12 28 44 19 1 1 63","0 0 0 0 2 8 17 4 0 0 0 0","5 30 1 0 0"
38453,"Space Alert",2008,30,30,30,12,1,5,"1072 1037 1016 1113","2689 2046 2023 2040 2020","7475 5666","789","11938 11961","7345 2366 264 6275 8923 23031 9881 30552 4696 7466 6123 21053 3","11 48 124 10 79 114 19 126 65 180 80 2 193 61 5 1 6 110","0 0 0 0 0 0 13 20 18 3 0 0","1 13 51 9 6"
54998,"Cyclades",2009,90,60,90,13,2,5,"1050 1029 1015 1046 1047 1082 1008","2080 2046 2012 2041 2072 2004 2079","10640 19424 27548","1727 4337","12016","5400 157 15889 15605 6214 7466 36763 10739","0 1 140 20 91 95 23 138 47 142 95 4 166 55 11 1 2 94","0 0 0 0 0 7 20 16 9 1 1 0","63 5 2 0 0"
9217,"Saint Petersburg",2004,60,45,60,10,2,4,"2726 1002 1021","2041 2004","18637 11966 18346 27646","928","74","267 133 18852 7992 3","0 8 106 91 102 28 69 128 12 138 58 13 4 8 88","0 0 0 0 1 3 24 12 1 1 0 1","57 6 0 0 0"
70323,"King of Tokyo",2011,30,30,30,8,2,6,"1017 1046 1064 1016","2080 2041 2072 2685 2661","9470 18616 10634 24569 28525 5615","14","92204 37675 1279 48337 45899 92203 76496 56844","8923 6784 6194 2366 7496 22560 15605 22650 28415 23382 264 1391 18852 6275 6214 8291 3218 25203 10970 11107 22651 36563 21053 8313 17786 14078","0 1 363 7 91 365 57 354 59 373 143 6 256 199 19 146 239 63 3 39 188","0 1 8 19 84 65 14 5 0 0 0 0","2 17 99 11 0"
92539,"7 Wonders: Leaders",2011,40,40,40,10,2,7,"1050 1002 1029 1015 1042","2041 2040 2004 2020 2015","17552","9714","12016","4384 157 15889 15605 3218 7466","0 0 57 8 18 38 20 41 6 45 25 2 31 35 1 14 42 8 20 33 12 2 3 46","0 0 0 0 0 5 8 13 1 0 0 0","32 3 0 1 0"
55660,"Dixit Quest",2010,30,30,30,8,3,6,"1023 1002 1039 1042 1079 1030","2020 2027 2017","9644","11547","12691","157 15889 15605 8820 10562 3218 9051 9325 7466 9234","0 0 32 0 0 32 0 9 24 5 27 5 25 14 0 33 6 0 5 9 13","0 0 0 0 7 10 2 1 0 0 0 0","32 0 0 0 0"
73439,"Troyes",2010,90,90,90,12,1,4,"1017 1021 1035","2080 2072 2082","20262 11006","38335 11312 7369","12282","12884 157 7466 17786 538","2 15 124 74 163 25 175 93 2 55 144 42 0 0 121","0 0 0 0 0 0 2 25 21 4 0 0","71 12 2 1 0"
12002,"Jambo",2004,45,45,45,12,2,2,"1002 1021","2001 2040 2004","27383 22066 12924 17105 78 18319","381","11825","5657 37 7992 4696 3 4932","0 0 58 75 3 0 1 1 53","0 0 0 0 2 2 18 9 2 0 0 0","1 0 9 36 6"
24508,"Taluva",2006,45,45,45,8,2,4,"1029 1086","2011 2002","5607 21418 18319","59","11869 36093 73817 59","10768 1562 133 3","1 2 71 84 48 11 51 72 9 44 76 13 0 0 59","0 0 0 0 1 5 11 5 0 0 0 0","49 0 0 0 0"
20100,"Wits & Wagers",2005,25,25,25,10,3,7,"1023 1030 1027","2014 2055","6485 12926","3245","20351","4335 7496 23031 5787 2164","0 0 77 0 1 84 1 17 71 2 68 22 30 65 2 69 33 1 86 19 0 29 39 16","0 0 0 0 3 17 9 1 1 0 1 0","0 0 0 15 24"
201808,"Clank!: A Deck-Building Adventure",2016,60,30,60,12,1,4,"1022 1010","2041 2664 2685 2078 2661","7005 5666","92370","60376 73773 31001","33706 34801 27470 22651 3242 28072 24844","1 38 39 12 80 15 78 41 0 50 47 10 0 0 53","0 0 0 0 2 11 10 2 0 0 0 0","0 2 5 0 0"
17226,"Descent: Journeys in the Dark",2005,240,240,240,12,2,5,"1022 1020 1010 1046 1047","2072 2676 2011 2019 2028 2015","4671 9983 5137","2336","11994 7483 17928","3475 6194 2973 17 264 6214 504 3446","0 2 166 24 103 70 35 134 34 79 115 19 158 56 19 2 5 111","0 0 0 0 4 6 33 31 17 0 0 1","0 1 14 91 7"
